"Id_aloj_1";"O0110";"O0111";"O0115";"O0120";"O0125";"O0130";"O0135";"O0140";"O0145";"O0150";"O0155";"O0160";"O0161";"O0162";"O0163";"O0165";"O0210";"O0211";"O0215";"O0220";"O0225";"O0230";"O0235";"O0240";"O0245";"O0250";"O0260";"O0261";"O0265";"O0310";"O0315";"O0320";"O0325";"O0330";"O0335";"O0340";"O0345";"O0350";"O0355";"O0360";"O0365";"O0370";"O0375"
"F1_1151";1;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1152";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1153";2;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1154";3;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1155";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1156";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1157";;;;;2;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1158";;;;;3;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1159";3;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1160";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1161";;1;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1162";3;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1163";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1164";;1;;;2;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1165";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1166";;1;;;;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1167";3;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1168";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1169";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1170";;3;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1171";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1172";;;;;1;;;;2;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1173";;;;;3;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1174";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1175";;1;;;3;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1176";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1177";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1178";1;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1179";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1180";2;;;;;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1181";2;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1182";2;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1183";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1184";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1185";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1186";;;;;;;;1;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1187";1;;3;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1188";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1189";2;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1190";;1;;;;;3;;;2;;;;;;;;;2;1;;;;3;;;;;;3;5;5;5;5;5;5;3;5;5;5;5;5;5
"F1_1191";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1192";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1193";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1194";;2;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1195";;2;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1196";;;;;;;1;;;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1197";;3;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1198";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1199";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1200";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1201";;;;;2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1202";2;;;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1203";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1204";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1205";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1206";3;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1207";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1208";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1209";;;;;;;;;;;;;;;;;;3;2;;;;;1;;;;;;3;3;4;4;3;3;3;3;4;4;3;3;3;1
"F1_1210";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1211";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1212";1;3;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1213";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1214";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1215";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1216";;2;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1217";;;1;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1218";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1219";2;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1220";3;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1221";;;;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1222";2;;;;;;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1223";;2;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1224";;3;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1225";;;;1;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1226";;;2;;;3;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1227";3;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1228";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1229";;3;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1230";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1231";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1232";1;;;;2;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1233";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1234";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1235";1;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1236";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1237";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1238";2;;;;;;1;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1239";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1240";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F1_1241";3;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
