"Id_aloj_1";"N_Individuo";"N_Pass";"Tipo_Passe";"Tipo_Passe_Dsg";"Passe_Tarifa";"Passe_Tarifa_Dsg";"Passe_Intermodal";"Passe_Intermodal_Dsg";"Passe_Operador1";"Passe_Operador1_Dsg";"Passe_Operador2";"Passe_Operador2_Dsg";"Passe_Operador3";"Passe_Operador3_Dsg"
"F1_18601";2;2;4;"Combido entre operadores";1;"Sem redução";;;37;"ETG / Gondomarense";46;"Metro do Porto";;
"F1_18601";1;1;4;"Combido entre operadores";1;"Sem redução";;;37;"ETG / Gondomarense";46;"Metro do Porto";;
"F1_18603";2;1;1;"Rede de um operador";2;"Gratuito";;;37;"ETG / Gondomarense";;;;
"F1_18608";5;1;1;"Rede de um operador";1;"Sem redução";;;37;"ETG / Gondomarense";;;;
"F1_18608";5;2;4;"Combido entre operadores";4;"Sub23";;;46;"Metro do Porto";53;"STCP";;
"F1_18609";3;1;4;"Combido entre operadores";9;"Outro";;;37;"ETG / Gondomarense";46;"Metro do Porto";;
"F1_18609";4;1;1;"Rede de um operador";7;"Crianças";;;37;"ETG / Gondomarense";;;;
"F1_18609";3;2;3;"Passes intermodais/sociais ";4;"Sub23";14;"Andante - Z3";;;;;;
"F1_18611";5;1;2;"Linha de um operador";8;"Social +";;;37;"ETG / Gondomarense";;;;
"F1_18611";6;1;1;"Rede de um operador";2;"Gratuito";;;37;"ETG / Gondomarense";;;;
"F1_18613";3;1;4;"Combido entre operadores";4;"Sub23";;;37;"ETG / Gondomarense";46;"Metro do Porto";53;"STCP"
"F1_18613";3;2;4;"Combido entre operadores";4;"Sub23";;;37;"ETG / Gondomarense";46;"Metro do Porto";53;"STCP"
"F1_18613";4;1;2;"Linha de um operador";2;"Gratuito";;;37;"ETG / Gondomarense";;;;
"F1_18613";2;1;2;"Linha de um operador";1;"Sem redução";;;37;"ETG / Gondomarense";;;;
"F1_18615";3;1;2;"Linha de um operador";4;"Sub23";;;37;"ETG / Gondomarense";;;;
"F1_18615";4;1;2;"Linha de um operador";9;"Outro";;;37;"ETG / Gondomarense";;;;
"F1_18615";3;2;1;"Rede de um operador";4;"Sub23";;;46;"Metro do Porto";;;;
"F1_18617";1;1;1;"Rede de um operador";4;"Sub23";;;37;"ETG / Gondomarense";;;;
"F1_18617";1;2;1;"Rede de um operador";4;"Sub23";;;53;"STCP";;;;
"F1_18618";4;1;2;"Linha de um operador";8;"Social +";;;37;"ETG / Gondomarense";;;;
"F1_18618";3;1;2;"Linha de um operador";8;"Social +";;;37;"ETG / Gondomarense";;;;
"F1_18620";4;1;4;"Combido entre operadores";3;"4_18";;;37;"ETG / Gondomarense";53;"STCP";;
"F1_18620";4;2;4;"Combido entre operadores";3;"4_18";;;37;"ETG / Gondomarense";53;"STCP";;
"F1_18623";2;1;2;"Linha de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18623";1;1;2;"Linha de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18626";2;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18630";3;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18635";1;1;2;"Linha de um operador";5;"Sénior";;;53;"STCP";;;;
"F1_18636";1;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18639";2;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18645";4;1;2;"Linha de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18647";3;1;4;"Combido entre operadores";7;"Crianças";;;46;"Metro do Porto";53;"STCP";;
"F1_18649";1;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18650";2;1;2;"Linha de um operador";3;"4_18";;;53;"STCP";;;;
"F1_18653";3;1;3;"Passes intermodais/sociais ";4;"Sub23";13;"Andante - Z2";;;;;;
"F1_18653";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";14;"Andante - Z3";;;;;;
"F1_18664";1;1;4;"Combido entre operadores";8;"Social +";;;53;"STCP";46;"Metro do Porto";37;"ETG / Gondomarense"
"F1_18665";1;1;4;"Combido entre operadores";1;"Sem redução";;;46;"Metro do Porto";36;"CP";53;"STCP"
"F1_18665";1;2;4;"Combido entre operadores";1;"Sem redução";;;46;"Metro do Porto";36;"CP";53;"STCP"
"F1_18666";1;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18668";1;1;3;"Passes intermodais/sociais ";4;"Sub23";14;"Andante - Z3";;;;;;
"F1_18669";3;1;3;"Passes intermodais/sociais ";1;"Sem redução";13;"Andante - Z2";;;;;;
"F1_18670";1;1;3;"Passes intermodais/sociais ";8;"Social +";14;"Andante - Z3";;;;;;
"F1_18670";4;1;3;"Passes intermodais/sociais ";8;"Social +";14;"Andante - Z3";;;;;;
"F1_18672";1;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18672";2;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18674";1;1;4;"Combido entre operadores";4;"Sub23";;;53;"STCP";46;"Metro do Porto";;
"F1_18678";2;1;1;"Rede de um operador";9;"Outro";;;53;"STCP";;;;
"F1_18680";2;1;2;"Linha de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18682";1;1;4;"Combido entre operadores";5;"Sénior";;;46;"Metro do Porto";53;"STCP";37;"ETG / Gondomarense"
"F1_18683";2;1;1;"Rede de um operador";8;"Social +";;;53;"STCP";;;;
"F1_18683";4;1;1;"Rede de um operador";4;"Sub23";;;53;"STCP";;;;
"F1_18683";3;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18686";1;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;53;"STCP";;;;
"F1_18686";2;1;1;"Rede de um operador";9;"Outro";;;53;"STCP";;;;
"F1_18689";3;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18690";2;1;3;"Passes intermodais/sociais ";8;"Social +";13;"Andante - Z2";;;;;;
"F1_18690";1;1;3;"Passes intermodais/sociais ";9;"Outro";13;"Andante - Z2";;;;;;
"F1_18692";1;1;3;"Passes intermodais/sociais ";5;"Sénior";14;"Andante - Z3";;;;;;
"F1_18693";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";13;"Andante - Z2";;;;;;
"F1_18694";1;1;2;"Linha de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18702";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";14;"Andante - Z3";;;;;;
"F1_18703";2;1;2;"Linha de um operador";9;"Outro";;;53;"STCP";;;;
"F1_18703";3;1;2;"Linha de um operador";9;"Outro";;;53;"STCP";;;;
"F1_18704";1;1;3;"Passes intermodais/sociais ";9;"Outro";17;"Andante - Z6";;;;;;
"F1_18705";1;2;1;"Rede de um operador";1;"Sem redução";;;37;"ETG / Gondomarense";;;;
"F1_18705";1;3;1;"Rede de um operador";1;"Sem redução";;;37;"ETG / Gondomarense";;;;
"F1_18705";3;1;1;"Rede de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18705";4;1;1;"Rede de um operador";3;"4_18";;;53;"STCP";;;;
"F1_18705";1;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18706";2;1;4;"Combido entre operadores";1;"Sem redução";;;36;"CP";46;"Metro do Porto";53;"STCP"
"F1_18716";3;1;2;"Linha de um operador";4;"Sub23";;;53;"STCP";;;;
"F1_18718";1;1;3;"Passes intermodais/sociais ";6;"Pensionistas e reformados";24;"Outro";;;;;;
"F1_18718";2;1;3;"Passes intermodais/sociais ";1;"Sem redução";24;"Outro";;;;;;
"F1_18722";2;1;2;"Linha de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18722";1;1;2;"Linha de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18724";1;1;2;"Linha de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18727";1;1;1;"Rede de um operador";6;"Pensionistas e reformados";;;43;"Litoral Norte";;;;
"F1_18734";2;1;2;"Linha de um operador";3;"4_18";;;53;"STCP";;;;
"F1_18736";3;1;3;"Passes intermodais/sociais ";1;"Sem redução";14;"Andante - Z3";;;;;;
"F1_18738";2;1;4;"Combido entre operadores";1;"Sem redução";;;53;"STCP";37;"ETG / Gondomarense";46;"Metro do Porto"
"F1_18738";3;1;4;"Combido entre operadores";7;"Crianças";;;53;"STCP";37;"ETG / Gondomarense";46;"Metro do Porto"
"F1_18739";2;1;3;"Passes intermodais/sociais ";8;"Social +";17;"Andante - Z6";;;;;;
"F1_18740";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";20;"Andante - Z9";;;;;;
"F1_18741";1;1;3;"Passes intermodais/sociais ";8;"Social +";15;"Andante - Z4";;;;;;
"F1_18745";2;1;1;"Rede de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18748";2;1;3;"Passes intermodais/sociais ";2;"Gratuito";24;"Outro";;;;;;
"F1_18748";4;1;3;"Passes intermodais/sociais ";9;"Outro";15;"Andante - Z4";;;;;;
"F1_18748";3;1;3;"Passes intermodais/sociais ";4;"Sub23";14;"Andante - Z3";;;;;;
"F1_18750";1;1;1;"Rede de um operador";9;"Outro";;;46;"Metro do Porto";;;;
"F1_18755";1;1;2;"Linha de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18755";2;1;2;"Linha de um operador";1;"Sem redução";;;53;"STCP";;;;
"F1_18760";2;1;1;"Rede de um operador";2;"Gratuito";;;53;"STCP";;;;
"F1_18760";3;1;1;"Rede de um operador";2;"Gratuito";;;53;"STCP";;;;
"F1_18760";4;1;1;"Rede de um operador";2;"Gratuito";;;53;"STCP";;;;
"F1_18760";1;1;1;"Rede de um operador";2;"Gratuito";;;53;"STCP";;;;
"F1_18761";2;1;3;"Passes intermodais/sociais ";8;"Social +";15;"Andante - Z4";;;;;;
"F1_18761";1;1;3;"Passes intermodais/sociais ";8;"Social +";14;"Andante - Z3";;;;;;
"F1_18762";1;1;3;"Passes intermodais/sociais ";1;"Sem redução";14;"Andante - Z3";;;;;;
"F1_18762";3;1;3;"Passes intermodais/sociais ";9;"Outro";14;"Andante - Z3";;;;;;
"F1_18763";2;1;3;"Passes intermodais/sociais ";1;"Sem redução";24;"Outro";;;;;;
"F1_18770";2;1;2;"Linha de um operador";1;"Sem redução";;;46;"Metro do Porto";;;;
"F1_18770";3;1;1;"Rede de um operador";4;"Sub23";;;46;"Metro do Porto";;;;
"F1_18773";3;1;2;"Linha de um operador";1;"Sem redução";;;61;"Valpi ";;;;
