category,latitude,longitude,neighbourhood
university,41.17927796440254,-8.599663491075608,Paranhos
university,41.17827288532129,-8.596510494207513,Paranhos
university,41.176435412951456,-8.606264926921975,Paranhos
university,41.17482632681399,-8.658494317612835,Ramalde
university,41.178684831131136,-8.596544320560357,Paranhos
university,41.17320371118102,-8.611153580302178,Paranhos
university,41.15327819684323,-8.672106913627136,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.178829872201526,-8.59640098631431,Paranhos
university,41.17780711768662,-8.59504113035694,Paranhos
university,41.17812016420023,-8.59776156676557,Paranhos
university,41.15023879171391,-8.637200936872167,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.17876495987901,-8.594602458033737,Paranhos
university,41.17735703485785,-8.663089050164805,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.178635782195535,-8.595235249512122,Paranhos
university,41.18009630908408,-8.597122942064294,Paranhos
university,41.18009630908408,-8.597122942064294,Paranhos
university,41.17441224417345,-8.60281060932447,Paranhos
university,41.16863160136226,-8.662664286401528,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.17884183964667,-8.595795053296404,Paranhos
university,41.15415718030312,-8.644283662629835,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.178124161474486,-8.59460862503162,Paranhos
university,41.15022829956356,-8.6358958782157,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.178169701848816,-8.595214577812166,Paranhos
university,41.17819732170919,-8.59597271460095,Paranhos
university,41.17877862274042,-8.595355464340416,Paranhos
university,41.153549455441066,-8.672379358539356,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.1755204296682,-8.598336335154295,Paranhos
university,41.17844417251479,-8.602277428639011,Paranhos
university,41.17774806075138,-8.595680030216577,Paranhos
university,41.1541973520681,-8.603813305343424,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1756879,-8.6031064,Paranhos
university,41.15327819684323,-8.672106913627136,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.1424934,-8.6162935,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.16028798729084,-8.601685618834528,Bonfim
university,41.15144877606962,-8.615875397181862,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.15209366146921,-8.616249684414171,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.17792607343445,-8.608525783064955,Paranhos
university,41.1476923653945,-8.617699230353209,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.180143618050856,-8.607186728441876,Paranhos
university,41.17841637105969,-8.60866017827944,Paranhos
university,41.17811472458437,-8.607827953545812,Paranhos
university,41.17767770503132,-8.607775795582224,Paranhos
university,41.1784498522122,-8.607513856348017,Paranhos
university,41.1820732009996,-8.603398060771145,Paranhos
university,41.17754522579878,-8.608251881793835,Paranhos
university,41.17343421622675,-8.61094305254092,Paranhos
university,41.17910580284072,-8.607842189881643,Paranhos
university,41.17882379946913,-8.607031300506916,Paranhos
university,41.14516638598124,-8.600419452260732,Bonfim
university,41.14720997319013,-8.623901070459361,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1758872,-8.6031184,Paranhos
university,41.1542503,-8.6143944,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1755204296682,-8.598336335154295,Paranhos
university,41.17844417251479,-8.602277428639011,Paranhos
university,41.17829113158032,-8.595783624490462,Paranhos
university,41.15082673386021,-8.632127881684973,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.1471294,-8.6245384,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1519635,-8.6179724,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.17540276123893,-8.604472220033088,Paranhos
university,41.1536022,-8.6722073,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.17347036250393,-8.59597984497337,Paranhos
university,41.176692264610885,-8.604816665973134,Paranhos
university,41.17825510034862,-8.6009845374583,Paranhos
university,41.17855062915881,-8.607750236984286,Paranhos
university,41.17731436108142,-8.606313688023759,Paranhos
university,41.1737883,-8.6589343,Ramalde
university,41.1743969,-8.6593487,Ramalde
university,41.14709045898596,-8.624050124481723,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.14015287693944,-8.615847117036257,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.14445116167414,-8.61669269383633,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.14691418265031,-8.623653231369106,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1752567,-8.6574932,Ramalde
university,41.14726386439016,-8.62445203227651,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.1424934,-8.6162935,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.17844315798585,-8.606861849997113,Paranhos
university,41.17782891205704,-8.60801928084684,Paranhos
university,41.176435412951456,-8.606264926921975,Paranhos
university,41.143072416386815,-8.607703136610354,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.18203297869145,-8.616771775980494,Paranhos
university,41.17569708918252,-8.598290647609693,Paranhos
university,41.15229328232706,-8.672286565423367,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.1752567,-8.6574932,Ramalde
university,41.17941090492791,-8.60864857848899,Paranhos
university,41.1506673267894,-8.631904487655339,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.15364807953659,-8.673150923885935,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
university,41.1743969,-8.6593487,Ramalde
university,41.1542503,-8.6143944,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.15063789658387,-8.63241379451191,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.17908690980672,-8.608697108907597,Paranhos
university,41.179123658264594,-8.607068924438677,Paranhos
university,41.1519635,-8.6179724,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.15176602977615,-8.635214946065219,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.1471294,-8.6245384,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
university,41.17939506948717,-8.606692077161362,Paranhos
university,41.17829113158032,-8.595783624490462,Paranhos
university,41.1737883,-8.6589343,Ramalde
university,41.1506266513399,-8.635314734021588,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.1756879,-8.6031064,Paranhos
university,41.14996424384737,-8.634958900065868,UniaodasfreguesiasdeLordelodoOuroeMassarelos
university,41.1758872,-8.6031184,Paranhos
university,41.1536022,-8.6722073,UniaodasfreguesiasdeAldoarFozdoDouroeNevogilde
workplace_1st_sec,41.1488539,-8.6076709,UniaodasfreguesiasdeCedofeitaSantoIldefonsoSeMiragaiaSaoNicolaueVitoria
workplace_1st_sec,41.176897,-8.597536999999999,Paranhos
